评论,品质,味道,价格,分量,外观,物流,客服,粗粒度
这是的果没上次买的靓！感觉其奇形怪状的！还没吃味道待知,2,2,2,2,2,2,2,1
个头比较大，口感不错，皮比较薄，比自己想象的要好一些，物流也比较快，第一次买柚子，感觉不错。,2,1,1,1,2,1,2,1
柚子大小适中，色泽很好，形状中规中矩。皮很薄，水分充足，很甜不酸。可在看电视时候当作零食。,1,2,1,1,2,2,2,1
大品牌！值得信赖！效果超级好！贵有贵的道理！很棒的商品！材质很好，质量也不错，到货也很快,2,2,2,2,1,2,2,1
还可以有个吧小的,2,2,2,2,2,2,2,1
速度快，质量好。快递员态度好。,2,2,2,2,1,2,1,1
给老婆卖的她说很好吃很正宗,2,2,2,2,2,2,2,1
物美价廉，质量好，很甜，包装完美，很心细真是用心种植，更甜在心。,2,2,2,2,1,2,2,1
质量不错，货运速度快，买的舒心,2,2,2,2,1,2,2,1
收到了三个大柚子没有打开呢不知道里面的颜色吃后再追评,1,2,2,2,2,2,2,1
垃圾货，开了一个一口没吃。肉已经硬了，完全没水分。,2,2,2,2,2,2,2,0
很好吃水多值得购买,2,2,2,2,2,2,2,1
什么梅州蜜柚完全是骗人的。不但是没有水分，而且全部烧窖了，地地道道的。再也不相信网上购物了。,0,2,2,2,2,2,2,1
柚子真的狠好吃我买了好几次了。,2,2,2,2,2,2,2,1
买了个果，第一个一般酸，只能吃一点，多半没人吃；第二个，太酸了，一点都吃不了，整个丢掉。总的来说，这样的果，给人都不吃。,2,2,2,2,2,2,2,0
总体还算比较满意！虽然大了点！但是口感还是不错的！明年再来买吧！梅州三红柚确实比较出名，比福建安溪柚子要好吃！好评！！！,2,1,2,2,2,2,2,1
物流速度很快，到货及时通知领取。包装完整无缺，很干净，没有破损。价格比较优惠，肉质细腻，酸中带甜，水分充足，小朋友都喜欢吃，很新鲜的柚子。,1,2,1,2,1,2,2,1
宝贝收到了物流速度很快，包装完好没有破损，是新鲜采摘的果子，外观表皮看是有点绿，但是剥开果肉很甜蜜吃着也很有水分，甘甜口渴，比超市水果店购买的好太多了良心商家值得信赖还得是产地直发的好,1,2,1,2,1,2,1,1
